Rating,Feedback
2,Poor poor poor not recommended poor disappointing unpleasant poor.
4,Good satisfactory nice worthwhile enjoyable good nice.
2,Disappointing poor not recommended disappointing.
4,Satisfactory enjoyable enjoyable enjoyable enjoyable enjoyable.
1,Awful worst regret.
2,Poor poor disappointing poor disappointing unpleasant unpleasant.
2,Unpleasant poor disappointing poor unpleasant not recommended not recommended disappointing.
1,Horrible terrible regret.
5,Perfect best amazing amazing outstanding best.
5,Excellent outstanding excellent excellent excellent.
1,Horrible horrible awful unacceptable regret horrible terrible.
3,Okay okay decent average neutral.
5,Excellent best excellent amazing excellent amazing outstanding.
4,Good worthwhile satisfactory good good satisfactory.
4,Enjoyable good enjoyable good.
1,Regret horrible regret awful worst worst.
3,Decent neutral okay not bad neutral.
4,Worthwhile enjoyable good.
3,Okay not bad neutral decent.
1,Unacceptable awful regret horrible horrible.
3,Neutral neutral neutral not bad average.
4,Nice nice worthwhile nice worthwhile nice.
3,Average okay average neutral neutral decent neutral.
4,Satisfactory worthwhile enjoyable.
5,Outstanding excellent great great outstanding excellent outstanding.
3,Decent decent decent not bad decent decent neutral.
4,Enjoyable nice good enjoyable enjoyable worthwhile.
4,Good satisfactory good enjoyable nice enjoyable good.
5,Great excellent excellent.
4,Nice worthwhile enjoyable enjoyable satisfactory worthwhile enjoyable nice.
5,Great perfect excellent great great.
2,Not Recommended unpleasant poor not recommended unpleasant.
1,Awful awful awful unacceptable terrible.
3,Average average decent not bad average.
2,Not Recommended disappointing poor.
1,Worst regret regret regret terrible.
5,Best great amazing excellent excellent.
2,Poor unpleasant unpleasant poor not recommended.
4,Satisfactory nice nice worthwhile.
5,Excellent perfect amazing best best excellent.
5,Amazing best best perfect best excellent outstanding amazing.
1,Awful worst horrible horrible horrible horrible.
1,Worst unacceptable terrible regret worst worst.
2,Disappointing unpleasant unpleasant disappointing.
5,Outstanding perfect perfect.
1,Horrible horrible worst unacceptable terrible.
2,Poor disappointing unpleasant not recommended unpleasant unpleasant.
2,Poor poor not recommended unpleasant disappointing.
4,Worthwhile worthwhile worthwhile.
3,Decent average not bad not bad okay okay average.
3,Okay okay neutral neutral average neutral.
1,Regret unacceptable worst terrible worst.
3,Average not bad average.
2,Not Recommended not recommended disappointing unpleasant unpleasant poor.
1,Unacceptable regret horrible unacceptable horrible.
5,Outstanding perfect outstanding best best great best.
2,Disappointing poor unpleasant disappointing not recommended.
1,Regret awful terrible awful horrible.
5,Excellent best excellent amazing.
1,Terrible regret regret terrible worst regret awful.
1,Terrible horrible horrible worst horrible.
3,Okay average average okay.
5,Amazing outstanding outstanding.
4,Nice nice nice enjoyable.
4,Satisfactory satisfactory good satisfactory worthwhile satisfactory.
4,Enjoyable good enjoyable.
3,Average decent okay okay.
2,Disappointing poor poor disappointing disappointing disappointing disappointing disappointing.
1,Terrible unacceptable worst regret worst terrible.
1,Awful unacceptable worst worst awful terrible.
4,Worthwhile satisfactory good satisfactory worthwhile enjoyable.
4,Satisfactory nice worthwhile nice satisfactory nice worthwhile.
2,Not Recommended unpleasant unpleasant disappointing disappointing not recommended not recommended.
2,Unpleasant poor not recommended poor disappointing.
4,Good good nice good.
4,Good nice nice satisfactory enjoyable.
1,Worst unacceptable awful awful regret.
2,Disappointing unpleasant poor poor not recommended not recommended disappointing not recommended.
5,Amazing excellent perfect excellent outstanding amazing amazing.
4,Enjoyable enjoyable nice satisfactory worthwhile nice.
3,Neutral okay decent decent okay decent decent.
3,Decent neutral okay decent neutral decent.
1,Worst unacceptable horrible worst.
2,Poor disappointing poor unpleasant unpleasant poor poor.
2,Unpleasant poor disappointing poor.
2,Disappointing poor unpleasant not recommended unpleasant not recommended.
5,Perfect best excellent best excellent best outstanding best.
4,Worthwhile enjoyable nice nice enjoyable enjoyable.
5,Best great outstanding great perfect.
1,Regret horrible awful regret worst unacceptable worst.
3,Average decent decent neutral decent average neutral.
3,Decent okay not bad neutral.
3,Decent not bad neutral decent average.
2,Disappointing not recommended poor disappointing poor poor.
